Project,Disease Type,Primary Site,Program,Cases,Seq,Exp,SNV,CNV,Meth,Clinical,Bio,Files
BRCA,Breast Invasive Carcinoma,Breast,TCGA,"1,098","1,098","1,097","1,044","1,096","1,095","1,097","1,098","27,207"
GBM,Glioblastoma Multiforme,Brain,TCGA,617,406,166,396,593,423,596,617,"9,657"
OV,Ovarian Serous Cystadenocarcinoma,Ovary,TCGA,608,575,492,443,573,602,587,608,"13,054"
LUAD,Lung Adenocarcinoma,Lung,TCGA,585,582,519,569,518,579,522,585,"14,804"
UCEC,Uterine Corpus Endometrial Carcinoma,Uterus,TCGA,560,559,559,542,547,559,548,560,"13,604"
KIRC,Kidney Renal Clear Cell Carcinoma,Kidney,TCGA,537,535,534,339,532,533,537,537,"12,272"
HNSC,Head and Neck Squamous Cell Carcinoma,Head and Neck,TCGA,528,528,528,510,521,528,528,528,"12,895"
LGG,Brain Lower Grade Glioma,Brain,TCGA,516,516,516,513,514,516,515,516,"12,603"
THCA,Thyroid Carcinoma,Thyroid,TCGA,507,507,507,496,505,507,507,507,"12,703"
LUSC,Lung Squamous Cell Carcinoma,Lung,TCGA,504,504,504,497,504,503,504,504,"13,124"
PRAD,Prostate Adenocarcinoma,Prostate,TCGA,500,498,498,498,498,498,500,500,"12,568"
SKCM,Skin Cutaneous Melanoma,Skin,TCGA,470,470,469,470,470,470,470,470,"11,265"
COAD,Colon Adenocarcinoma,Colorectal,TCGA,461,460,459,433,458,458,459,461,"11,824"
STAD,Stomach Adenocarcinoma,Stomach,TCGA,443,443,439,441,443,443,443,443,"10,731"
BLCA,Bladder Urothelial Carcinoma,Bladder,TCGA,412,412,412,412,412,412,412,412,"10,193"
LIHC,Liver Hepatocellular Carcinoma,Liver,TCGA,377,377,376,375,376,377,377,377,"9,511"
CESC,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,Cervix,TCGA,307,307,307,305,302,307,307,307,"7,349"
KIRP,Kidney Renal Papillary Cell Carcinoma,Kidney,TCGA,291,291,291,288,290,291,291,291,"7,368"
SARC,Sarcoma,Soft Tissue,TCGA,261,261,261,255,261,261,261,261,"6,282"
LAML,Acute Myeloid Leukemia,Bone Marrow,TCGA,200,191,169,149,143,140,200,200,"3,954"
PAAD,Pancreatic Adenocarcinoma,Pancreas,TCGA,185,185,178,183,185,184,185,185,"4,433"
ESCA,Esophageal Carcinoma,Esophagus,TCGA,185,185,184,184,185,185,185,185,"4,473"
PCPG,Pheochromocytoma and Paraganglioma,Adrenal Gland,TCGA,179,179,179,179,179,179,179,179,"4,422"
READ,Rectum Adenocarcinoma,Colorectal,TCGA,172,171,167,158,166,165,170,172,"4,012"
TGCT,Testicular Germ Cell Tumors,Testis,TCGA,150,150,150,150,134,150,134,150,"3,636"
THYM,Thymoma,Thymus,TCGA,124,124,124,123,124,124,124,124,"2,974"
KICH,Kidney Chromophobe,Kidney,TCGA,113,66,66,66,66,66,113,113,"1,853"
ACC,Adrenocortical Carcinoma,Adrenal Gland,TCGA,92,92,80,92,92,80,92,92,"2,108"
MESO,Mesothelioma,Pleura,TCGA,87,87,87,83,87,87,87,87,"2,050"
UVM,Uveal Melanoma,Eye,TCGA,80,80,80,80,80,80,80,80,"1,928"
DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,Lymph Nodes,TCGA,58,48,48,48,48,48,48,58,"1,163"
UCS,Uterine Carcinosarcoma,Uterus,TCGA,57,57,57,57,57,57,57,57,"1,364"
CHOL,Cholangiocarcinoma,Bile Duct,TCGA,51,51,36,51,36,36,45,51,"1,157"
